Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID
1,,C-Device,C7,47pF,SMD-0805,1, ,~,5c70984712875079b91f8b38
2,,C-Device,C4,100nF,SMD-0805,1, ,~,5c70984712875079b91f8b4c
3,,C-Device,C3 C5 C6,1uF,SMD-0805,3, ,~,5c70984712875079b91f8b50
4,,C-Device,C2,10uF,SMD-0805,1, ,~,5c70984812875079b91f8bbe
5,,CP-Device,C1,1F,CP_Radial_D8.0mm_P3.50mm,1, ,~,5c70984412875079b91f8873
6,,LED-Device,D6,GREEN,LED_1206,1, ,~,5c70984412875079b91f8895
7,,D_Zener-Device,D1,M4,D_SMA,1, ,~,5c70984512875079b91f88ac
8,,D-Device,D2,M4,D_SMA,1, ,~,5c70984512875079b91f88ac
9,,LED-Device,D3,RED,LED_1206,1, ,~,5c70984412875079b91f8896
10,,LED-Device,D4 D5,YELLOW,LED_1206,2, ,~,5c70984412875079b91f8897
11,,Fuse-Device,F1,750mA,1812,1, ,~,5c70984512875079b91f88d2
12,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J16,HEADER_2x01_PARALLEL,Straight_2x01,12, ,,
13,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1 J3 J15,HEADER_2x03_PARALLEL,Straight_2x03,3, ,,
14,,SMA-MLAB_CONNECTORS,J18,SMA,SMA6251A13G50,1, ,,5c70984412875079b91f87ac
15,,USB_B-Connector,J2,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,1, , ~,5c70984412875079b91f87a8
16,,Jumper_2_Bridged-Jumper,JP2 JP6,Jumper_2_Bridged,Straight_1x02,2, ,~,
17,,Jumper_2_Open-Jumper,JP4,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1, ,~,
18,,Jumper_2_Open-Jumper,JP7 JP8 JP9,Jumper_2_Open,Straight_1x02,3, ,~,
19,,Jumper_3_Bridged12-Jumper,JP1,Jumper_3_Bridged12,Straight_1x03,1, ,~,
20,,L-Device,L2,27nH,L_0402_1005Metric,1, ,LQG15HS27NJ02D,618cbf071287506e2801ed7e
21,,L-Device,L1,NL322522T-101K,L_1210_3225Metric,1, ,~,5c70984412875079b91f87fb
22,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q1,BC817-25,SOT-23,1, ,~,5c70984712875079b91f8aea
23,,R-Device,R11,10R,SMD-0805,1, ,~,5c70984512875079b91f896d
24,,R-Device,R1,22R,SMD-0805,1, ,~,5c70984512875079b91f896f
25,,R-Device,R4 R5 R6 R7 R8 R9,33R,SMD-0805,6, ,~,5c70984512875079b91f8970
26,Resistor,R,R14 R16,220R,SMD-0805,2, ,~,5c70984512875079b91f897f
27,,R-Device,R10 R12 R13,620R,SMD-0805,3, ,~,5c70984512875079b91f8989
28,,R-Device,R2 R3 R15,10k,SMD-0805,3, ,~,5c70984612875079b91f899f
29,,MIC5504-3.3YM5-Regulator_Linear,U2,MIC5504-3.3YM5,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2
30,,NEO-M8P-RF_GPS,U3,NEO-M8P,ublox_NEO,1, ,https://content.u-blox.com/sites/default/files/NEO-M8P_DataSheet_UBX-15016656.pdf,5ed7ad5612875004e15a62f5
31,,USBLC6-2SC6-Power_Protection,U1,USBLC6-2SC6,SOT-23-6,1, ,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,5e82e0691287502a334a778c





Project info:
Schematic:,GPS02B
Variant:,default
Revision:,REV
Date:,%F
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,31
Component Count:,60
Fitted Components:,60
Number of PCBs:,1
Total Components:,60
