Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","10uF","SMD-0805",27.4955,9.6520,0.0000,bottom
"C3","1uF","SMD-0805",28.9560,12.6365,-90.0000,bottom
"C4","100nF","SMD-0805",30.9880,10.7315,90.0000,bottom
"C5","1uF","SMD-0805",33.0200,10.7315,90.0000,bottom
"C6","1uF","SMD-0805",42.1640,32.8295,90.0000,bottom
"C7","47pF","SMD-0805",51.7525,30.4800,0.0000,bottom
"D1","M4","D_SMA",27.7500,19.4100,0.0000,bottom
"D2","M4","D_SMA",20.5740,4.8260,-90.0000,bottom
"D3","RED","LED_1206",12.1920,33.2740,90.0000,bottom
"D4","YELLOW","LED_1206",19.5580,33.3060,90.0000,bottom
"D5","YELLOW","LED_1206",16.0020,33.2740,90.0000,bottom
"D6","GREEN","LED_1206",23.1140,33.3060,90.0000,bottom
"F1","750mA","1812",18.2060,14.7320,0.0000,bottom
"L1","NL322522T-101K","L_1210_3225Metric",21.2120,10.6680,0.0000,bottom
"L2","27nH","L_0402_1005Metric",49.3400,24.9900,-90.0000,bottom
"Q1","BC817-25","SOT-23",26.0350,37.9730,180.0000,bottom
"R1","22R","SMD-0805",28.9560,16.3195,90.0000,bottom
"R2","10k","SMD-0805",47.3075,8.8900,0.0000,bottom
"R3","10k","SMD-0805",43.7515,8.8900,180.0000,bottom
"R4","33R","SMD-0805",36.0045,30.4800,180.0000,bottom
"R5","33R","SMD-0805",39.6240,31.4325,90.0000,bottom
"R6","33R","SMD-0805",38.1000,10.7315,-90.0000,bottom
"R7","33R","SMD-0805",35.5600,10.7315,-90.0000,bottom
"R8","33R","SMD-0805",44.5135,11.1760,0.0000,bottom
"R9","33R","SMD-0805",40.6400,10.7315,-90.0000,bottom
"R10","620R","SMD-0805",12.1920,37.9095,90.0000,bottom
"R11","10R","SMD-0805",48.1965,29.9720,0.0000,bottom
"R12","620R","SMD-0805",19.5580,37.9095,90.0000,bottom
"R13","620R","SMD-0805",16.0020,37.8460,90.0000,bottom
"R14","220R","SMD-0805",25.8400,32.1975,90.0000,bottom
"R15","10k","SMD-0805",42.1640,36.5125,-90.0000,bottom
"R16","220R","SMD-0805",23.1000,37.9525,-90.0000,bottom
"U1","USBLC6-2SC6","SOT-23-6",20.7440,21.3360,180.0000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",25.9740,12.7840,90.0000,bottom
"U3","NEO-M8P","ublox_NEO",39.6240,21.0820,-90.0000,bottom
